menu_id	label	link	icon	parent	sort	time	status
1	dashboard	admin/dashboard	fa fa-dashboard	0	0	2023-08-01 04:46:59	1
2	calendar	admin/calendar	fa fa-calendar	0	1	2023-08-01 04:46:59	1
4	client	admin/client/manage_client	fa fa-users	0	13	2023-08-01 04:46:59	1
5	mailbox	admin/mailbox	fa fa-envelope-o	0	2	2023-08-01 04:46:59	1
6	tickets	admin/tickets	fa fa-ticket	0	10	2023-08-01 04:46:59	1
12	sales	#	fa fa-shopping-cart	0	9	2023-08-01 04:46:59	1
13	invoice	admin/invoice/manage_invoice	fa fa-circle-o	12	0	2023-08-01 04:46:59	1
14	estimates	admin/estimates	fa fa-circle-o	12	1	2023-08-01 04:46:59	1
15	payments_received	admin/invoice/all_payments	fa fa-circle-o	12	3	2023-08-01 04:46:59	1
16	tax_rates	admin/invoice/tax_rates	fa fa-circle-o	12	5	2023-08-01 04:46:59	1
21	quotations	#	fa fa-paste	12	7	2023-08-01 04:46:59	1
22	quotations_list	admin/quotations	fa fa-circle-o	21	0	2023-08-01 04:46:59	1
23	quotations_form	admin/quotations/quotations_form	fa fa-circle-o	21	1	2023-08-01 04:46:59	1
24	user	admin/user/user_list	fa fa-users	0	25	2023-08-01 04:46:59	1
25	settings	admin/settings	fa fa-cogs	0	26	2023-08-01 04:46:59	1
26	database_backup	admin/settings/database_backup	fa fa-database	0	27	2023-08-01 04:46:59	1
29	transactions_menu	#	fa fa-building-o	0	12	2023-08-01 04:46:59	1
30	deposit	admin/transactions/deposit	fa fa-circle-o	29	1	2023-08-01 04:46:59	1
31	expense	admin/transactions/expense	fa fa-circle-o	29	0	2023-08-01 04:46:59	1
32	transfer	admin/transactions/transfer	fa fa-circle-o	29	2	2023-08-01 04:46:59	1
33	transactions_report	admin/transactions/transactions_report	fa fa-circle-o	29	3	2023-08-01 04:46:59	1
34	balance_sheet	admin/transactions/balance_sheet	fa fa-circle-o	29	5	2023-08-01 04:46:59	1
36	bank_cash	admin/account/manage_account	fa fa-money	29	6	2023-08-01 04:46:59	1
39	items	admin/items/items_list	fa fa-cube	150	0	2023-08-01 04:46:59	1
42	report	#	fa fa-bar-chart	0	24	2023-08-01 04:46:59	1
43	account_statement	admin/report/account_statement	fa fa-circle-o	146	0	2023-08-01 04:46:59	1
44	income_report	admin/report/income_report	fa fa-circle-o	146	2	2023-08-01 04:46:59	1
45	expense_report	admin/report/expense_report	fa fa-circle-o	146	1	2023-08-01 04:46:59	1
46	income_expense	admin/report/income_expense	fa fa-circle-o	146	3	2023-08-01 04:46:59	1
47	date_wise_report	admin/report/date_wise_report	fa fa-circle-o	146	4	2023-08-01 04:46:59	1
48	all_income	admin/report/all_income	fa fa-circle-o	146	6	2023-08-01 04:46:59	1
49	all_expense	admin/report/all_expense	fa fa-circle-o	146	7	2023-08-01 04:46:59	1
50	all_transaction	admin/report/all_transaction	fa fa-circle-o	146	8	2023-08-01 04:46:59	1
51	recurring_invoice	admin/invoice/recurring_invoice	fa fa-circle-o	12	2	2023-08-01 04:46:59	1
52	transfer_report	admin/transactions/transfer_report	fa fa-circle-o	29	4	2023-08-01 04:46:59	1
53	report_by_month	admin/report/report_by_month	fa fa-circle-o	146	5	2023-08-01 04:46:59	1
54	tasks	admin/tasks/all_task	fa fa-tasks	0	5	2023-08-01 04:46:59	1
55	leads	admin/leads	fa fa-rocket	0	8	2023-08-01 04:46:59	1
56	opportunities	admin/opportunities	fa fa-filter	0	7	2023-08-01 04:46:59	1
57	projects	admin/projects	fa fa-folder-open-o	0	4	2023-08-01 04:46:59	1
58	bugs	admin/bugs	fa fa-bug	0	6	2023-08-01 04:46:59	1
59	project	#	fa fa-folder-open-o	42	2	2023-08-01 04:46:59	1
60	tasks_report	admin/report/tasks_report	fa fa-circle-o	42	3	2023-08-01 04:46:59	1
61	bugs_report	admin/report/bugs_report	fa fa-circle-o	42	4	2023-08-01 04:46:59	1
62	tickets_report	admin/report/tickets_report	fa fa-circle-o	42	5	2023-08-01 04:46:59	1
63	client_report	admin/report/client_report	fa fa-circle-o	42	6	2023-08-01 04:46:59	1
66	tasks_assignment	admin/report/tasks_assignment	fa fa-dot-circle-o	59	0	2023-08-01 04:46:59	1
67	bugs_assignment	admin/report/bugs_assignment	fa fa-dot-circle-o	59	1	2023-08-01 04:46:59	1
68	project_report	admin/report/project_report	fa fa-dot-circle-o	59	2	2023-08-01 04:46:59	1
69	goal_tracking	admin/goal_tracking	fa fa-shield	73	1	2023-08-01 04:46:59	1
70	departments	admin/departments	fa fa-user-secret	0	14	2023-08-01 04:46:59	1
71	holiday	admin/holiday	fa fa-calendar-plus-o	73	0	2023-08-01 04:46:59	1
72	leave_management	admin/leave_management	fa fa-plane	0	20	2023-08-01 04:46:59	1
73	utilities	#	fa fa-gift	0	23	2023-08-01 04:46:59	1
74	overtime	admin/utilities/overtime	fa fa-clock-o	89	9	2023-08-01 04:46:59	1
75	office_stock	#	fa fa-codepen	0	15	2023-08-01 04:46:59	1
76	stock_category	admin/stock/stock_category	fa fa-sliders	75	0	2023-08-01 04:46:59	1
77	manage_stock	#	fa fa-archive	75	2	2023-08-01 04:46:59	1
78	assign_stock	#	fa fa-align-left	75	3	2023-08-01 04:46:59	1
79	stock_report	admin/stock/report	fa fa-line-chart	75	4	2023-08-01 04:46:59	1
